担当者,受注日,受注商品コード,受注金額
田中,2017/04/01,A005,261100
田中,2017/04/01,A001,284900
鈴木,2017/04/02,A003,947000
佐藤,2017/04/04,A004,372800
田中,2017/04/04,A002,138100
田中,2017/04/04,A002,419700
佐藤,2017/04/05,A001,474900
鈴木,2017/04/05,A005,669600
鈴木,2017/04/05,A003,805400
佐々木,2017/04/06,A002,646200
佐藤,2017/04/07,A004,345800
鈴木,2017/04/08,A005,39600
田中,2017/04/08,A004,585400
田中,2017/04/08,A004,478900
田中,2017/04/09,A003,847900
佐藤,2017/04/09,A004,319300
佐藤,2017/04/09,A003,128200
佐藤,2017/04/10,A004,673000
田中,2017/04/10,A001,718900
佐藤,2017/04/10,A002,531400
佐々木,2017/04/13,A002,992600
佐藤,2017/04/14,A003,471100
佐藤,2017/04/15,A003,369000
田中,2017/04/19,A002,318700
佐藤,2017/04/19,A001,740700
田中,2017/04/19,A004,151000
佐々木,2017/04/19,A003,214400
鈴木,2017/04/21,A004,185000
田中,2017/04/22,A002,71300
佐藤,2017/04/23,A001,457500
鈴木,2017/04/26,A005,743600
佐藤,2017/04/26,A004,257800
佐藤,2017/04/27,A004,904800
佐々木,2017/04/29,A005,847700
佐藤,2017/04/29,A005,670600
田中,2017/04/29,A004,51200
佐々木,2017/04/29,A002,769800
田中,2017/04/30,A002,29900
佐藤,2017/04/30,A001,304800
田中,2017/05/01,A001,929200
田中,2017/05/02,A002,277200
佐藤,2017/05/02,A003,295400
鈴木,2017/05/03,A005,473800
田中,2017/05/03,A002,896500
鈴木,2017/05/03,A001,233400
鈴木,2017/05/03,A004,132600
佐藤,2017/05/04,A002,986800
田中,2017/05/05,A003,638000
佐藤,2017/05/06,A003,414500
鈴木,2017/05/06,A003,971500
佐藤,2017/05/07,A001,61800
鈴木,2017/05/07,A003,71000
田中,2017/05/07,A005,337600
田中,2017/05/07,A004,572600
佐藤,2017/05/08,A001,959200
佐藤,2017/05/09,A004,673700
田中,2017/05/09,A003,87100
佐藤,2017/05/11,A002,765900
佐々木,2017/05/11,A005,475200
鈴木,2017/05/11,A003,388400
田中,2017/05/12,A001,449000
佐藤,2017/05/12,A004,873800
佐々木,2017/05/12,A004,682700
田中,2017/05/12,A005,423200
田中,2017/05/12,A003,198400
田中,2017/05/13,A005,73300
田中,2017/05/13,A005,16100
佐々木,2017/05/13,A001,628000
佐藤,2017/05/13,A001,151400
鈴木,2017/05/13,A001,523900
佐藤,2017/05/14,A001,25500
佐藤,2017/05/14,A003,562800
鈴木,2017/05/14,A005,530500
鈴木,2017/05/14,A005,450700
田中,2017/05/15,A004,344100
佐々木,2017/05/15,A002,197400
田中,2017/05/15,A005,49300
佐藤,2017/05/16,A002,40100
田中,2017/05/16,A002,361800
田中,2017/05/17,A004,322600
田中,2017/05/17,A004,697800
佐藤,2017/05/18,A005,394500
佐々木,2017/05/18,A002,21700
鈴木,2017/05/20,A001,225300
佐々木,2017/05/21,A001,715900
鈴木,2017/05/21,A005,402400
鈴木,2017/05/22,A003,353600
佐々木,2017/05/22,A003,94800
佐藤,2017/05/23,A003,698000
佐藤,2017/05/25,A003,707600
佐々木,2017/05/26,A004,543800
田中,2017/05/26,A005,867100
鈴木,2017/05/27,A001,736000
佐藤,2017/05/28,A004,23200
佐々木,2017/05/28,A002,397400
鈴木,2017/05/28,A003,404200
鈴木,2017/05/28,A002,494300
佐藤,2017/05/28,A003,44200
佐藤,2017/05/29,A004,788400
鈴木,2017/05/31,A001,928700
田中,2017/06/01,A002,849800
佐々木,2017/06/01,A001,120100
佐々木,2017/06/03,A002,496100
田中,2017/06/03,A001,554100
佐々木,2017/06/04,A005,835300
田中,2017/06/04,A003,31700
鈴木,2017/06/06,A004,292000
佐藤,2017/06/07,A002,845000
鈴木,2017/06/07,A002,288300
佐々木,2017/06/07,A003,734400
佐藤,2017/06/08,A002,208400
田中,2017/06/10,A002,432300
佐々木,2017/06/11,A004,720800
鈴木,2017/06/12,A001,504800
田中,2017/06/13,A004,981800
佐藤,2017/06/14,A002,675900
佐藤,2017/06/14,A003,913200
佐々木,2017/06/15,A002,247000
佐々木,2017/06/16,A005,338900
佐藤,2017/06/17,A002,781400
鈴木,2017/06/18,A005,710500
田中,2017/06/18,A002,563000
鈴木,2017/06/19,A003,807600
田中,2017/06/20,A004,563800
佐藤,2017/06/20,A005,867400
佐々木,2017/06/20,A004,206200
鈴木,2017/06/21,A004,125600
佐藤,2017/06/22,A005,808500
佐藤,2017/06/24,A004,291800
佐々木,2017/06/25,A004,176500
鈴木,2017/06/25,A002,234500
鈴木,2017/06/26,A005,896000
田中,2017/06/27,A003,653900
佐藤,2017/06/27,A003,352300
田中,2017/06/28,A003,72800
佐々木,2017/06/29,A004,605000
佐々木,2017/06/29,A001,928100
佐々木,2017/06/29,A001,122000
田中,2017/06/30,A003,726000
佐々木,2017/06/30,A005,36400
佐藤,2017/06/30,A005,707800
佐藤,2017/06/30,A003,389200
田中,2017/07/01,A002,396400
鈴木,2017/07/01,A003,226900
鈴木,2017/07/01,A001,1000000
鈴木,2017/07/02,A003,953700
佐々木,2017/07/02,A003,511200
佐々木,2017/07/03,A003,454700
佐々木,2017/07/03,A001,582300
田中,2017/07/03,A005,726400
佐藤,2017/07/05,A003,612300
田中,2017/07/06,A005,916800
鈴木,2017/07/06,A002,138900
